Table: tblTransactionsModified
Exported on: 2025-10-01 18:46:33

Field Name	Data Type	Size
----------------------------------------
ID	Long	4
Date	Date/Time	8
Details	Memo	0
Account	Text	255
Paid In	Other	8
Withdrawn	Other	8
Quantity	Other	8
Price	Currency	8
ModifiedDetails	Text	255
ConsolidatedDetails	Text	255
